V	Current	
4.88	1.45699E-4
4.89	1.47823E-4
4.9	1.49981E-4
4.91	1.52171E-4
4.92	1.54395E-4
4.93	1.56653E-4
4.94	1.58946E-4
4.95	1.61274E-4
4.96	1.63636E-4
4.97	1.66035E-4
4.98	1.68469E-4
4.99	1.7094E-4
5	1.73448E-4
5.01	1.75994E-4
5.02	1.78577E-4
5.03	1.81199E-4
5.04	1.83859E-4
5.05	1.86558E-4
5.06	1.89297E-4
5.07	1.92076E-4
5.08	1.94896E-4
5.09	1.97756E-4
5.1	2.00658E-4
5.11	2.03602E-4
5.12	2.06589E-4
5.13	2.09618E-4
5.14	2.12691E-4
5.15	2.15807E-4
5.16	2.18968E-4
5.17	2.22173E-4
5.18	2.25424E-4
5.19	2.28721E-4
5.2	2.32065E-4
5.21	2.35455E-4
5.22	2.38892E-4
5.23	2.42378E-4
5.24	2.45912E-4
5.25	2.49494E-4
5.26	2.53127E-4
5.27	2.56809E-4
5.28	2.60542E-4
5.29	2.64327E-4
5.3	2.68163E-4
5.31	2.72051E-4
5.32	2.75992E-4
5.33	2.79987E-4
5.34	2.84035E-4
5.35	2.88138E-4
5.36	2.92297E-4
5.37	2.96511E-4
5.38	3.00781E-4
5.39	3.05108E-4
5.4	3.09493E-4
5.41	3.13936E-4
5.42	3.18438E-4
5.43	3.22999E-4
5.44	3.2762E-4
5.45	3.32301E-4
5.46	3.37044E-4
5.47	3.41849E-4
5.48	3.46716E-4
5.49	3.51647E-4
5.5	3.56641E-4
5.51	3.617E-4
5.52	3.66824E-4
5.53	3.72014E-4
5.54	3.7727E-4
5.55	3.82593E-4
5.56	3.87984E-4
5.57	3.93444E-4
5.58	3.98973E-4
5.59	4.04572E-4
5.6	4.10241E-4
5.61	4.15982E-4
5.62	4.21794E-4
5.63	4.2768E-4
5.64	4.33639E-4
5.65	4.39671E-4
5.66	4.45779E-4
5.67	4.51963E-4
5.68	4.58223E-4
5.69	4.6456E-4
5.7	4.70974E-4
5.71	4.77468E-4
5.72	4.8404E-4
5.73	4.90693E-4
5.74	4.97427E-4
5.75	5.04242E-4
5.76	5.1114E-4
5.77	5.18121E-4
5.78	5.25186E-4
5.79	5.32336E-4
5.8	5.39571E-4
5.81	5.46893E-4
5.82	5.54301E-4
5.83	5.61798E-4
5.84	5.69384E-4
5.85	5.77059E-4
5.86	5.84825E-4
5.87	5.92682E-4
